Top queries,Last 3 months (2023) Clicks,Last 3 months (2022) Clicks,Last 3 months (2023) Impressions,Last 3 months (2022) Impressions,Last 3 months (2023) CTR,Last 3 months (2022) CTR,Last 3 months (2023) Position,Last 3 months (2022) Position
tropical ice cream and coffee menu,0,0,9,0,0%,0%,9.56,0
cookeville tn coffee shops,0,0,9,10,0%,0%,11.33,8.9
coffee ice cream shop,0,0,9,6,0%,0%,15.89,83.17
ice cream house near me,0,0,9,2,0%,0%,20,8
40 flavors ice cream,0,0,9,0,0%,0%,27,0
the ice cream house menu,0,0,9,6,0%,0%,29.33,38.17
southern ice cream corp menu,0,0,9,23,0%,0%,29.56,88
old city ice cream,0,0,9,4,0%,0%,30,66.5
crepe and creme cookeville,0,0,9,3,0%,0%,32.89,37.33
tropical ice cream and coffee,0,0,9,10,0%,0%,40.67,46.2
house party coffee,0,0,9,0,0%,0%,54.22,0
kreme and cone,0,0,9,0,0%,0%,58.44,0
southern ice cream menu,0,0,9,2,0%,0%,61.22,61.5
coffee in ice cream cone,0,0,9,0,0%,0%,67.56,0
dairy queen cookeville,0,0,9,0,0%,0%,68.56,0
nashville tn to cookeville tn,0,0,9,0,0%,0%,80.78,0
ice cream lenoir city tn,0,0,9,0,0%,0%,83.22,0
book store cookeville,0,0,9,0,0%,0%,83.67,0
turkish ice cream flavors,0,0,9,0,0%,0%,83.78,0
old ice cream,0,0,9,0,0%,0%,90,0
cookeville tn ice cream,0,0,8,14,0%,0%,1.5,1.86
i c e cream near me,0,0,8,0,0%,0%,10.75,0
city of cream,0,0,8,0,0%,0%,10.88,0
ice cream white house tn,0,0,8,0,0%,0%,18.62,0
ice cream in tennessee,0,0,8,2,0%,0%,18.75,22
coffee icecream near me,0,0,8,0,0%,0%,23,0
book party room,0,0,8,0,0%,0%,45.25,0
ice cream house order online,0,0,8,0,0%,0%,48.38,0
orange chocolate ice cream near me,0,0,8,0,0%,0%,56.88,0
ice cream flavors with nuts,0,0,8,1,0%,0%,60.88,69
where can i buy coffee ice cream,0,0,8,0,0%,0%,61.88,0
cookevile,0,0,8,0,0%,0%,62.12,0
ice cream flavors,0,0,8,0,0%,0%,62.88,0
new city ice cream,0,0,8,2,0%,0%,64.75,85.5
grandma's coffee house menu,0,0,8,1,0%,0%,80.62,46
what flavors are in superman ice cream,0,0,8,0,0%,0%,81.12,0
cookeville tn time,0,0,8,0,0%,0%,88,0
white house cherry ice cream,0,0,8,0,0%,0%,90.5,0
coffee parties,0,0,8,0,0%,0%,96.25,0
superman ice cream flavor,0,0,8,0,0%,0%,98,0
ice cream shops,0,0,7,11,0%,0%,1.86,2.09
things to do in cookeville tennessee,0,0,7,0,0%,0%,2.43,0
city ice cream menu,0,0,7,0,0%,0%,8.14,0
ice cream broad street,0,0,7,2,0%,0%,8.57,21
citric acid in ice cream,0,0,7,0,0%,0%,9.29,0
varieties cookeville tn,0,0,7,0,0%,0%,10.86,0
cream city milk can,0,0,7,11,0%,0%,12.57,39.18
ice cream tennessee,0,0,7,18,0%,0%,16.71,13.28
loaded teas cookeville,0,0,7,0,0%,0%,17.14,0
roots coffee cookeville tn,0,0,7,0,0%,0%,19.14,0
broad street ice cream,0,0,7,0,0%,0%,20.14,0
nearest city to cookeville tennessee,0,0,7,0,0%,0%,25.43,0
cream city country club,0,0,7,14,0%,0%,29.71,45.36
